nombre_producto,cantidad_kg,fecha_caducidad,id_bedca,donante
Lentejas pardinas,5,2026-06-15,181,Mercadona Av. Albufera
Arroz blanco,3,2026-08-20,99,Carrefour Vallecas
Tomate triturado (lata),4,2026-09-10,802,DIA Puente de Vallecas
Pasta macarrones,2,2026-07-30,95,Mercadona Av. Albufera
Aceite de oliva,1,2027-01-15,45,Carrefour Vallecas
Atún en lata,1.5,2026-10-05,340,DIA Puente de Vallecas
Plátanos,3,2026-05-02,535,Mercadona Av. Albufera
Zanahorias,2,2026-05-05,830,Carrefour Vallecas
Garbanzos,4,2026-06-20,175,DIA Puente de Vallecas
Pollo (pechuga),2.5,2026-05-01,276,Mercadona Av. Albufera
